* 92166 1800 1044.0 0
* 92735 1320 20.0 0
* 92824 1110 30.0 0
* 92824 180 60.0 0
* 92850 1485 30.0 0
* 92961 1680 300.0 0
* 92971 240 540.0 0
* 92972 1560 240.0 0
* 93007 1183 101.0 0
* 93081 315 45.0 0
* 93233 1061 122.0 0
* 93444 600 90.0 0
* 98292 0 200 0
* 98337 0 200 0
* 100512 0 60 0
* 100514 0 120 0
* 100676 390 60.00 0
* 100677 840 60.00 0
* 100704 1320 480.00 0
* 100705 240 420.00 0
* 101216 720 80.00 0
* 101489 1500 60.00 0
* 101599 91 101.00 0
* 101605 624 163.00 0
* 101605 787 113.00 0
* 101639 600 120.00 0
* 101922 0 152.00 0
* 101923 1230 27.00 0
* 102640 990 123.00 0
* 103149 1080 50.00 0
* 103467 60 60.00 0
* 103519 850 -220.00 0
* 104533 0 210.00 0
* 104534 0 940.00 0
* 104534 1122 101.00 0
* 104534 1324 202.00 0
* 104536 0 1070.00 0
* 104538 0 415.00 0
* 104539 780 60.00 0
* 104543 960 60.00 0
