*  104533 0 210.00 0
*  104534 0 940.00 0
*  104534 1122 101.00 0
*  104534 1324 202.00 0
*  104536 0 1070.00 0
*  104538 0 415.00 0
*  104539 780 60.00 0
*  104543 960 60.00 0

