* 58356 1140 600 0 
* 58863 1140 600 0 
* 64443 1020 600 0
* 64444 1020 180 0
* 66533 0 120 0
* 66533 1680 600 0
* 67074 1230 120 0
* 67122 0 60 0
* 67123 1140 240 0
* 67123 1440 300 0
* 67124 960 360 0
* 67125 0 60 0
* 67125 1020 1800 0
* 67126 780 1800 0
* 67333 600 1800 0
* 67136 420 180 0
* 67378 420 120 0
* 67604 880 120 0
* 69862 1680 120 0
* 70381 0 240 0
* 70354 300 720 0 
* 70534 1140 60 0
* 70355 1200 600 0
* 70381 0 240 0
* 70428 700 180 0
* 70455 950 300 0
* 70527 0 300 0
* 70996 0 120 0
* 74237 1260 548.0 0
* 74359 660 90.0 0
* 74388 540 480 0
* 74416 420 540 0
* 74361 1170 12.0 0
* 74453 180 60.0 0
* 74453 720 60 0
* 74504 0 240.0 0
* 74505 900 264.0 0
* 74784 960 180 0
* 74785 600 60 0
* 74784 1020 120 0
* 74811 780 120 0
* 74854 120 120 0
* 75863 0 120 0
* 80925 990 60.0 0
* 83158 240 60.0 0
* 83168 240 30.0 0
* 89032 0 192.0 0
* 98292 0 200 0
* 98337 0 200 0
* 100512 0 60 0
* 100514 0 120 0
*  100676 390 60.00 0
*  100677 840 60.00 0
*  100704 1320 480.00 0
*  100705 240 420.00 0
*  101216 720 80.00 0
*  101599 91 101.00 0
*  101605 624 163.00 0
*  101605 787 113.00 0
*  101639 600 120.00 0
*  101922 0 152.00 0
*  101923 1230 27.00 0
*  103149 1080 50.00 0
*  103467 60 60.00 0
*  103519 850 -220.00 0
